# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# Number of images: 240, mean observations per image: TBD
21 0.9138483050591754 0.3091194180815201 -0.08436787806140324 0.24941636244807772 0 0 0 21 image_21.png

22 0.5927155555855995 0.20049266741136862 -0.24995089899351344 0.738928622110054 0 0 0 22 image_22.png

23 0.48215826464802797 0.39878873363361544 -0.49716326569325137 0.6010986948943753 0 0 0 23 image_23.png

24 0.5329024998075403 0.644309493569041 -0.42268371623480444 0.34959788075103626 0 0 0 24 image_24.png

25 0.7433911842708811 0.6148520880434788 -0.16781139883852828 0.20289354695693868 0 0 0 25 image_25.png

26 0.045185616625499 0.015284546227240571 -0.3200611676880026 0.946195271408071 0 0 0 26 image_26.png

27 0.8859220721709138 0.2996730612359729 0.11344077070815559 -0.3353644732988198 0 0 0 27 image_27.png

28 0.6366156544433255 0.7697045875957528 0.03675728345518024 -0.030401619442791763 0 0 0 28 image_28.png

29 0.26791895321427067 0.7920475164339984 -0.5196036699365564 0.17576174898926866 0 0 0 29 image_29.png

30 -0.2256387297218686 -0.27281005046879175 0.7206739308197989 -0.5960628536064436 0 0 0 30 image_30.png

31 -0.4226837261680772 -0.3495978889667563 -0.5329024892036727 0.6443094913651256 0 0 0 31 image_31.png

32 0.49716326569325137 0.6010986948943753 0.48215826464802797 -0.39878873363361544 0 0 0 32 image_32.png

33 0.24995090000409365 0.7389286250976272 0.5927155579820167 -0.20049264805608316 0 0 0 33 image_33.png

34 0.08436786870928335 0.24941635890304514 0.9138483083763101 -0.3091194136879094 0 0 0 34 image_34.png

35 0.1678114143752478 0.20289354150635786 0.7433911793338762 -0.6148520915707902 0 0 0 35 image_35.png

36 -0.5196036732103744 -0.1757617500966742 -0.267918931385486 0.7920475214243777 0 0 0 36 image_36.png

37 0.7206739308197989 0.5960628536064436 0.2256387297218686 -0.27281005046879175 0 0 0 37 image_37.png

38 0.3200611677361535 0.9461952715504194 0.04518561663229685 -0.015284536386724359 0 0 0 38 image_38.png

39 -0.1134407601442135 -0.3353644669310493 0.8859220721693148 -0.2996730723658427 0 0 0 39 image_39.png

40 0.036757283425433517 0.030401646037617785 -0.6366156539281288 0.7697045869728507 0 0 0 40 image_40.png

41 0.7711652309631225 0.260855258570211 -0.18608405057046876 0.550119484069733 0 0 0 41 image_41.png

42 0.3005336600528297 0.10165888154745437 -0.303872056612847 0.898335552111598 0 0 0 42 image_42.png

43 0.24447610333716505 0.20220397287705105 -0.6044148714277935 0.7307719558430911 0 0 0 43 image_43.png

44 -0.3790818643892321 -0.4583315426907987 0.6194581820827956 -0.5123482191991446 0 0 0 44 image_44.png

45 0.6273223072904454 0.5188525847821392 -0.370129378558035 0.4475074984499456 0 0 0 45 image_45.png

46 -0.28489154314546494 -0.09636773821581221 -0.30559125891216216 0.903417981972821 0 0 0 46 image_46.png

47 0.9472378907014433 0.32041381631483085 0.0027817031828560306 -0.008223555280344682 0 0 0 47 image_47.png

